,week,position,name,overall_rank,Andy Behrens,Scott Pianowski,Dalton Del Don,Matt Harmon,Kate Magdziuk,Tera Roberts,points,ranking,overall_rank_error,Andy Behrens_error,Scott Pianowski_error,Dalton Del Don_error,Matt Harmon_error,Kate Magdziuk_error,Tera Roberts_error
226,8,K,Cairo Santos,,,,,,,,1,32.0,,,,,,,
227,8,K,Joshua Karty,,,,,,,,4,26.0,,,,,,,
228,8,K,Matt Gay,,,,,,,,9,15.0,,,,,,,
229,8,K,Jason Sanders,,,,,,,,11,9.0,,,,,,,
230,8,K,Anders Carlson,,,,,,,,16,1.0,,,,,,,
231,8,K,Chad Ryland,,,,,,,,10,11.0,,,,,,,
232,8,K,Cam Little,,,,,,,,10,11.0,,,,,,,
233,8,K,Daniel Carlson,,,,,,,,10,11.0,,,,,,,
234,8,K,Blake Grupe,,,,,,,,8,17.0,,,,,,,
235,8,K,Dustin Hopkins,,,,,,,,12,6.0,,,,,,,
236,8,K,Joey Slye,,,,,,,,5,24.0,,,,,,,
237,8,K,Greg Zuerlein,,,,,,,,4,26.0,,,,,,,
238,8,K,Nick Folk,,,,,,,,2,30.0,,,,,,,
239,8,K,Eddy Pineiro,,,,,,,,2,30.0,,,,,,,
240,8,K,Greg Joseph,,,,,,,,14,3.0,,,,,,,
241,9,K,Brandon Aubrey,1.0,2.0,1.0,1.0,1.0,1.0,1.0,9,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0
242,9,K,Will Reichard,2.0,1.0,2.0,3.0,3.0,4.0,2.0,3,25.0,23.0,24.0,23.0,22.0,22.0,21.0,23.0
243,9,K,Younghoe Koo,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3,25.0,22.0,21.0,21.0,23.0,23.0,22.0,22.0
244,9,K,Austin Seibert,4.0,5.0,3.0,4.0,5.0,2.0,4.0,9,8.0,4.0,3.0,5.0,4.0,3.0,6.0,4.0
245,9,K,Justin Tucker,5.0,7.0,6.0,5.0,4.0,5.0,5.0,11,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
